country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,genres
Australia,AU,2021-12-12,TV,1,Money Heist,Money Heist: Part 5,4,"['Crime', 'Drama']"
Australia,AU,2021-12-05,Films,1,The Power of the Dog,,1,"['Drama', 'Western']"
Australia,AU,2021-12-05,TV,1,Lost in Space,Lost in Space: Season 3,1,"['Sci-Fi & Fantasy', 'Comedy']"
Australia,AU,2021-11-28,Films,1,The Little Things,,2,"['Drama', 'Crime', 'Thriller']"
Australia,AU,2021-11-28,TV,1,Selling Sunset,Selling Sunset: Season 4,1,['Reality']
Australia,AU,2021-11-21,Films,1,Red Notice,,2,"['Action', 'Comedy', 'Crime']"
Australia,AU,2021-11-21,TV,1,Tiger King,Tiger King 2,1,"['Documentary', 'Crime']"
Australia,AU,2021-11-14,Films,1,Red Notice,,1,"['Action', 'Comedy', 'Crime']"
Australia,AU,2021-11-14,TV,1,Maid,Maid: Limited Series,7,['Drama']
Australia,AU,2021-11-07,Films,1,Cold Pursuit,,1,"['Action', 'Crime', 'Thriller', 'Comedy']"
Australia,AU,2021-11-07,TV,1,You,You: Season 3,4,['Drama']
Australia,AU,2021-10-31,Films,1,Midway,,1,"['Action', 'Drama', 'War', 'History']"
Australia,AU,2021-10-31,TV,1,You,You: Season 3,3,['Drama']
Australia,AU,2021-10-24,Films,1,Sonic the Hedgehog,,2,"['Action', 'Science Fiction', 'Comedy', 'Family']"
Australia,AU,2021-10-24,TV,1,You,You: Season 3,2,['Drama']
Australia,AU,2021-10-17,Films,1,Sonic the Hedgehog,,1,"['Action', 'Science Fiction', 'Comedy', 'Family']"
Australia,AU,2021-10-17,TV,1,Squid Game,Squid Game: Season 1,5,"['Action & Adventure', 'Mystery', 'Drama']"
Australia,AU,2021-10-10,Films,1,The Guilty,,2,"['Drama', 'Thriller']"
Australia,AU,2021-10-10,TV,1,Squid Game,Squid Game: Season 1,4,"['Action & Adventure', 'Mystery', 'Drama']"
Australia,AU,2021-10-03,Films,1,Wonder Woman 1984,,1,"['Action', 'Adventure', 'Fantasy']"
Australia,AU,2021-10-03,TV,1,Squid Game,Squid Game: Season 1,3,"['Action & Adventure', 'Mystery', 'Drama']"
Australia,AU,2021-09-26,Films,1,Superintelligence,,2,"['Comedy', 'Science Fiction', 'Romance']"
Australia,AU,2021-09-26,TV,1,Squid Game,Squid Game: Season 1,2,"['Action & Adventure', 'Mystery', 'Drama']"
Australia,AU,2021-09-19,Films,1,Kate,,2,['Action']
Australia,AU,2021-09-19,TV,1,Sex Education,Sex Education: Season 3,1,"['Comedy', 'Drama']"
Australia,AU,2021-09-12,Films,1,Kate,,1,['Action']
Australia,AU,2021-09-12,TV,1,Clickbait,Clickbait: Limited Series,3,"['Drama', 'Crime', 'Mystery']"
Australia,AU,2021-09-05,Films,1,He's All That,,2,"['Comedy', 'Romance']"
Australia,AU,2021-09-05,TV,1,Clickbait,Clickbait: Limited Series,2,"['Drama', 'Crime', 'Mystery']"
Australia,AU,2021-08-29,Films,1,Sweet Girl,,2,"['Action', 'Thriller', 'Drama']"
Australia,AU,2021-08-29,TV,1,Clickbait,Clickbait: Limited Series,1,"['Drama', 'Crime', 'Mystery']"
Australia,AU,2021-08-22,Films,1,Sweet Girl,,1,"['Action', 'Thriller', 'Drama']"
Australia,AU,2021-08-22,TV,1,Outer Banks,Outer Banks: Season 2,4,"['Action & Adventure', 'Drama', 'Mystery']"
Australia,AU,2021-08-15,Films,1,The Kissing Booth 3,,1,"['Romance', 'Comedy']"
Australia,AU,2021-08-15,TV,1,Outer Banks,Outer Banks: Season 2,3,"['Action & Adventure', 'Drama', 'Mystery']"
Australia,AU,2021-08-08,Films,1,Joker,,1,"['Crime', 'Thriller', 'Drama']"
Australia,AU,2021-08-08,TV,1,Outer Banks,Outer Banks: Season 2,2,"['Action & Adventure', 'Drama', 'Mystery']"
Australia,AU,2021-08-01,Films,1,Blood Red Sky,,1,"['Horror', 'Thriller', 'Action']"
Australia,AU,2021-08-01,TV,1,Outer Banks,Outer Banks: Season 2,1,"['Action & Adventure', 'Drama', 'Mystery']"
Australia,AU,2021-07-25,Films,1,Harry Potter and the Sorcerer's Stone,,2,"['Adventure', 'Fantasy']"
Australia,AU,2021-07-25,TV,1,Virgin River,Virgin River: Season 3,3,['Drama']
Australia,AU,2021-07-18,Films,1,White Boy Rick,,1,"['Crime', 'Drama']"
Australia,AU,2021-07-18,TV,1,Virgin River,Virgin River: Season 3,2,['Drama']
Australia,AU,2021-07-11,Films,1,Gemini Man,,2,"['Science Fiction', 'Action', 'Thriller']"
Australia,AU,2021-07-11,TV,1,Sex/Life,Sex/Life: Season 1,2,"['Comedy', 'Drama']"
Australia,AU,2021-07-04,Films,1,Gemini Man,,1,"['Science Fiction', 'Action', 'Thriller']"
Australia,AU,2021-07-04,TV,1,Sex/Life,Sex/Life: Season 1,1,"['Comedy', 'Drama']"
